2023-06-30 10:41:08,504; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:41:08,507; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:41:09,508; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:41:09,511; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:41:09,513; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:41:09,514; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:41:10,516; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:41:10,518; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:41:11,519; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:41:11,522; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:41:11,523; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:41:11,525; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:41:12,526; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:41:12,528; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:41:13,531; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:41:13,532; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:41:13,534; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:41:13,536; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:41:14,537; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:41:14,540; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:41:15,541; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:41:15,544; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
